,Name of Chess Player,Country of Chess Player,Title of Chess Player,Rating,Description
8171,Khayala Abdulla,Azerbaijan,WGM,2220,
8172,Emanuel Cimer,Argentina,FM,2220,
8173,Cyril Courtial,France,,,
8174,Virginijus Dambrauskas,Lithuania,IM,2220,
8175,Koosha Jaferian,Iran,CM,2220,
8176,Nikita Dovbnia,Russia,CM,2220,
8177,Martin Horak,Czech Republic,FM,2220,
8178,Philipp Humburg,Germany,FM,2220,
8179,Karl Janetschek,Austria,FM,,
8180,David Gadasi,Israel,,,
8181,Lars Jellinghaus,Germany,,,
8182,Leonid Kozak,Uzbekistan,,2220,
8183,Muris Konjicanin,Bosnia-Herzegovina,FM,2220,
8184,Thomas Maes,Belgium,,2220,
8185,Georgios Milonakis,Greece,,2220,
8186,Nelson Nogueira,Portugal,IM,2220,
8187,Lucas Fonseca Piccoli,Brazil,,2220,
8188,Viacheslav Tikhonov,Russia,CM,2220,
8189,Lanlin Zhang,China,,2220,
8190,Gabor Vicsai,Hungary,,2220,
8191,Gernot Spindelboeck,Austria,FM,,
8192,Luis Vigil Alvarez,Spain,FM,,
8193,Husain Ayyad,Brunei,FM,2220,
8194,Drasko Babic,Bosnia-Herzegovina,FM,2220,
8195,Michal Dolnak,Slovakia,,2220,
8196,Lukas Hoffmann,Germany,FM,2220,
8197,Paulo Jodorcovsky Werjivker,Paraguay,CM,2220,
8198,Andrei S Kuznetsov,Russia,FM,,
8199,Darko R Mitrovic,Serbia,FM,2220,
8200,Xin Nie,China,,,
8201,Daniel Rangel,Brazil,FM,2220,
8202,Roland Reviczki,Hungary,,2220,
8203,Abdolmajid Roohi,Iran,,2220,
8204,Jaume Ros Alonso,Spain,,2220,
8205,Lukas Schimnatkowski,Germany,,2220,
8206,Gytis Vaicekauskas,Lithuania,,2220,
8207,Michael Vilenchuk,United States,,2220,
8208,Harshita Guddanti,India,WIM,2220,
8209,Zoltan Janko,Slovakia,,2220,
8210,Pavel Kopta,Czech Republic,FM,2220,
8211,Mark Safjanowski,Germany,IM,,
8212,Shyam Prasad Reddy K,India,CM,,
8213,Henk Van der Poel,Netherlands,FM,2220,
8214,Milos Jovanovic,Serbia,FM,,
8215,Jakub Macicek,Czech Republic,,2220,
8216,Adrian Pozueta Alegria,Spain,,,
8217,Maarten Praet,Belgium,,2220,
8218,Adnan Sitnic,Bosnia-Herzegovina,CM,2220,
8219,Egor Vlasov,Russia,,,
8220,Frantisek Vrana,Czech Republic,FM,2220,
8221,Stefan Wickenfeld,Germany,,2220,
8222,Jose Alejandro Ancheyta Tejas,Mexico,CM,,
8223,Adrian Prodileanu,Romania,,,
8224,Jakub Szostko,Poland,FM,,
8225,Vladimir Vojtek,Slovakia,FM,2220,
8226,Aleksandar M Popovic,Serbia,FM,2220,
8227,Khagan Ahmad,Azerbaijan,,2220,
8228,Michel Bedos,France,FM,,
8229,Jorge Bermejo Martinez,Spain,,2219,
8230,Frank Behrhorst,Germany,FM,2219,
8231,Tamerlan Bekturov,Kazakhstan,FM,2219,
8232,Malte Burwick,Sweden,,2219,
8233,Stefan Bryntze,Sweden,,2219,
8234,Stanley Chumfwa,Zambia,IM,2219,
8235,Robert Dubrovin,Estonia,,,
8236,Marcel Hug,Switzerland,FM,2219,
8237,Raphael Heran,France,,2219,
8238,Uwe Kleibel,Germany,,2219,
8239,Lernik Manukian,Armenia,,,
8240,Nino Maisuradze,France,WGM,2219,
8241,Miroslav M Mihalj,Serbia,FM,,
8242,Goran Urosevic,Serbia,,2219,
8243,Ian Udani,Philippines,,,
8244,Carlo Stromboli,Italy,FM,2219,
8245,Odion Aikhoje,Nigeria,IM,2219,
8246,Alperen Akdogan,Turkey,FM,2219,
8247,Dmitry Atlas,Austria,FM,2219,
8248,Bhattacharyya Soham,India,,2219,
8249,Andrey Dashko,Russia,,,
8250,Benjamin Dauth,Germany,FM,2219,
8251,Attila Jr Forgacs,Hungary,FM,2219,
8252,Radomir Garic,Serbia,FM,2219,
8253,Vladimir Grabinsky,Ukraine,IM,,
8254,Tatiana Grabuzova,Russia,WGM,2219,
8255,Ales Jedlicka,Czech Republic,FM,2219,
8256,Antonio Jimenez Lopez,Spain,,2219,
8257,Bjarke Hautop Kristensen,Denmark,,2219,
8258,Valentin Mitev,Bulgaria,FM,2219,
8259,Benjamin Moon,United States,FM,2219,
8260,Jairo David Pinzon,Colombia,,2219,
8261,Ferdinand Roski,Germany,,,
8262,Luigi Santolini,Italy,,2219,
8263,Jaroslaw Sendera,Poland,FM,2219,
8264,Branimir Vujic,Bosnia-Herzegovina,,2219,
8265,Radivoje Vulinovic,Montenegro,,2219,
8266,Ruiyang Yan,United States,FM,2219,Bio coming soon
8267,Hendrik Zimmermann,Germany,,,
8268,Bjoern Kopp,Germany,,2219,
8269,Kyaw Zin Latt,Myanmar,,2219,
8270,Juan Pablo Labrunee,Argentina,,,
8271,Carlos Reinuaba,Chile,,2219,
8272,Rodion Rubenchik,United States,FM,2219,
8273,Anton Siagodnik,Belarus,FM,,
8274,Hrvoje Sipic,Croatia,,2219,
8275,Badrakh Galmandakh,Mongolia,,2219,
8276,Valo Hallman,Finland,FM,,
8277,Michel Rene Machado Escanio,Cuba,FM,,
8278,Wieland Voss,Germany,,,
8279,Alexander Khripachenko,Russia,FM,2219,
8280,Mikayel Rostomyan,Armenia,CM,2219,
8281,Amir Ali Maghsoudloo,Iran,,2219,
8282,Valmor Bardhi,Kosovo,,2218,
8283,Wellington S Albuquerque Junior,Brazil,,2218,
8284,Pablo Barrionuevo,Argentina,IM,2218,
8285,Kamil Banas,Slovakia,,2218,
8286,Curt Collyer,United States,FM,,
8287,Johannes Dorst,Germany,FM,2218,
8288,Gyorgy Doleschall,Hungary,FM,,
8289,Gilian Honkoop,Netherlands,,2218,
8290,Gerald Hechl,Austria,FM,2218,
8291,Toni Kiroski,North Macedonia,IM,2218,
8292,Per Knudsen,Denmark,FM,2218,
8293,Manfred Klein,Germany,,,
8294,Zalan Andreas Lang,Germany,,2218,
8295,Pavel-Alexandru Nastore,Romania,FM,2218,
8296,Cristian Maidana,Argentina,FM,,
8297,Steffen Michel,Germany,,2218,
8298,Gabriel Carvalho Moreira Miguel,Brazil,CM,,
8299,Hakan Rothen,Sweden,FM,2218,
8300,Axel Segarra Martinez,Spain,,,
8301,Fiona Sieber,Germany,WIM,2218,
8302,Frangiskos Sigalas,Greece,FM,2218,
8303,Tomas Tvarijonas,Lithuania,FM,2218,
8304,Vladislav Tyunin,Russia,FM,,
8305,Miguel Antonio Neto Silva,Portugal,,2218,
8306,Arsalan Zarinfam,Iran,FM,2218,
8307,Nikolai Vasilev,Bulgaria,FM,,
8308,Arda Altun,Turkey,FM,2218,
8309,Timur Arestanov,Kazakhstan,FM,,
8310,Valentin Berrocal Ruiz,Spain,,2218,
8311,Olivier Billon,France,,,
8312,Moriz Binder,Austria,,2218,
8313,Richard Dudek,Germany,,2218,
8314,Daniel GH Gallagher,England,,2218,
8315,Hadi Ghorbani,Iran,FM,,
8316,Rudi Hoerstmann,Germany,,2218,
8317,Vladimir Moiseenko,Ukraine,FM,,
8318,Miguel Moreno Ibanez,Spain,FM,2218,
8319,Ulrich Nehmert,Germany,FM,2218,
8320,Dmitry V Ospennikov,Russia,FM,2218,
8321,Yudel Romero Arzuaga,Cuba,,2218,
8322,Patrick Seitz,Germany,,2218,
8323,Brayan Torres Valiente,Cuba,,2218,
8324,Boris Brosig,Germany,,2218,
8325,Josef Erneker,Czech Republic,,2218,
8326,Samid Eduardo Escalona Landi,Venezuela,CM,2218,
8327,Miguel Escalona Zayas,Cuba,,,
8328,Klaus Lehmann,Germany,FM,2218,
8329,Josef Pribyl,Czech Republic,IM,2218,
8330,Ivan Selendic,Croatia,,2218,
8331,Miljan Stankovic,Serbia,,2218,
8332,Tamas Bohati,Hungary,,2218,
8333,Vladislav Efremov,Russia,FM,2218,
8334,Ahmad Hamad,Syria,FM,,
8335,Love Janse,Sweden,,2218,
8336,Peter Fauland,Austria,,2218,
8337,Yury Khalukov,Russia,FM,,
8338,Marcel Boel,Netherlands,,2218,
8339,Martin Krajnak,Slovakia,FM,2218,
8340,Austin Mei,United States,FM,2218,
8341,Todd Andrews,United States,FM,2217,
8342,Miguel Beltran de Heredia E,Spain,,2217,
8343,Uriel Capo Vidal,Mexico,IM,2217,
8344,Srdjan Dimitrijevic,Serbia,,2217,
8345,Mario Ferro,Italy,FM,2217,
8346,Julian Francisco Figuero Toro,Spain,FM,2217,
8347,Stephan Giessmann,Germany,,2217,
8348,Maksum Firdaus,Indonesia,FM,,
8349,Josef Huelsmann,Germany,,2217,
8350,Thomas Guth,Germany,FM,2217,
8351,Frank Fleischer,Germany,CM,2217,
8352,Hector Heredia Perez,Cuba,FM,,
8353,Csaba Horvath,Hungary,CM,,
8354,Tommy He,United States,FM,,
8355,Dr Wolfram Heinig,Germany,FM,2217,
8356,Pavel Kogan,Israel,,,
8357,Andreas Landgren,Sweden,FM,2217,
8358,Giovanni Marchesich,Italy,CM,2217,
8359,Clement Metzger,France,,2217,
8360,Romain Kollar,France,,2217,
8361,Falko Meyer,Germany,FM,2217,
8362,Mikhail Pavlovskiy,Russia,,,
8363,Leon David Piasetski,Canada,IM,2217,
8364,Daniel Vesterbaek Pedersen,Denmark,FM,2217,
8365,Kristyna Petrova,Czech Republic,WGM,2217,
8366,Nicolas Vedovotto,France,,2217,
8367,Timur Taysayev,Russia,,,
8368,Stoyan Or Stoyanov,Bulgaria,,2217,
8369,Ruotong Chu,China,WIM,2217,
8370,Barlo A Nadera,Philippines,IM,2217,
8371,Erik Norberg,Sweden,CM,2217,
8372,Aleksandar Radanovic,Serbia,,2217,
8373,Nick Raptis,United States,FM,2217,
8374,Robert Sasata,Canada,,,
8375,Hendrik Schaffer,Germany,,2217,
8376,Veli-Matti Vuorisalo,Finland,,2217,
8377,Aram Yeritsyan,Russia,FM,,
8378,Anatolij Bets,Moldova,IM,2217,
8379,Drasko Jovanovic,Serbia,,2217,
8380,Pierre Olivier,France,,2217,
8381,Pavel Egorov,Russia,,2217,
8382,Andras Egyed,Hungary,FM,2217,
8383,Kundu Kaustuv,India,,2217,
8384,Erika Sziva,Netherlands,WGM,,
8385,Tagir Taalaibekov,Kyrgyzstan,,,
8386,Josef Kratochvil,Czech Republic,FM,2217,
8387,Dariusz Krauze,Poland,,,
8388,Dejan Joveljic,Serbia,,2217,
8389,Damian Balinski,Poland,,2216,
8390,Maria Jose Campos,Argentina,WFM,2216,
8391,Mykola Chernetskiy,Ukraine,IM,,
8392,Matthias Gantner,Switzerland,FM,2216,
8393,Antonio Garcia Cano,Spain,FM,2216,
8394,Sten Goes,Netherlands,,2216,
8395,Markus Hummel,Austria,,,
8396,Sandor Horvath,Hungary,FM,2216,
8397,Mladen Kelecevic,Serbia,,,
8398,Peter M Jamieson,Scotland,FM,2216,
8399,Damiano Locci,Italy,,,
8400,Philipp Limbourg,Germany,,2216,
8401,Daniel Lustenberger,Switzerland,FM,2216,
8402,Angel Martin Gonzalez,Spain,IM,2216,
8403,Gerd Kurr,Germany,,2216,
8404,Hein Middelhoven,Netherlands,,,
8405,Henrik Dahl Pedersen,Denmark,,2216,
8406,Aleksandr Sedov,Russia,FM,,
8407,Klas Sandholm,Finland,CM,2216,
8408,Axel Stephan,Germany,,,
8409,Yahor Silich,Belarus,FM,2216,
8410,Robert South,Canada,,,
8411,Miran Zupe,Slovenia,IM,2216,
8412,Gabor Vereb,Hungary,,2216,
8413,Andres Aguilar,Argentina,FM,2216,
8414,Ernst-Wolfgang Bayer,Germany,FM,2216,
8415,Jeroen Bugel,Netherlands,FM,,
8416,Mateusz Dubinski,Poland,FM,2216,
8417,Steven Feldman,United States,FM,,
8418,Martin Gruermann,Germany,,2216,
8419,Stefan Joeres,Germany,,2216,
8420,Alex Lienhard,Switzerland,,2216,
8421,Radivoj Perisic,Serbia,FM,2216,
8422,Marcin Pietruszewski,Poland,,2216,
8423,Quentin Poignot,France,,2216,
8424,Tian Sang,United States,FM,2216,
8425,Jan Stastny,Czech Republic,,2216,
8426,Ilya Valov,Russia,FM,,
8427,Oliver Weiss,Germany,FM,2216,
8428,Ruslan Yandarbiev,Russia,IM,2216,
8429,Tomasz Zebracki,Poland,,2216,
8430,Valentina Argote Heredia,Colombia,WIM,2216,
8431,Francisco II Guadalupe,United States,,,
8432,Hristo Ivelinov,Bulgaria,,,
8433,Dmitry Goltsev,Russia,FM,2216,
8434,Jan Juptner,Czech Republic,FM,2216,
8435,Boris Pineda,El Salvador,FM,,
8436,Kilian Boehning,Germany,,,
8437,Alexandre Merenciano,France,,2216,
8438,Jakub Janeczko,Poland,,2216,
8439,Nicolas Jimenez Munoz,Spain,,2216,
8440,Henrik Cernov,Germany,,2216,
8441,Egor Baskakov,Russia,CM,,
8442,Samuel Bustos Bernardo,Spain,,2215,
8443,Lukas Breneis,Austria,,2215,
8444,Boris Budimir,Bosnia-Herzegovina,FM,,
8445,Noham Jablonski,France,FM,,
8446,Vladimir Bozovic,Serbia,,2215,
8447,Gwilherm Courvoisier,France,,2215,
8448,Jan Paul Cremer,Germany,,,
8449,Luuk De Ruijter,Netherlands,,2215,
8450,Razvan-Stefan Dicu,Romania,FM,2215,
8451,Christo Dimitrov,France,FM,2215,
8452,Marina Gajcin,Serbia,WIM,2215,
8453,Pio Jesus Garcia Gomez,Spain,,,
8454,Halvard Hagesather,Norway,FM,2215,
8455,Mohamed Henni,Algeria,IM,,
8456,Christian Goldschmidt,Germany,,2215,
8457,Michel Georg,Switzerland,,2215,
8458,Tom Elliot Hebbering,Germany,,2215,
8459,Yuleisy Hernandez Moya,Cuba,WGM,2215,
8460,Christian Hess,Germany,FM,2215,
8461,Istvan Lorincz,Hungary,FM,,
8462,Garuch Manukian,Armenia,,,
8463,Mile Maras,Croatia,,2215,
8464,Marc Le Huec,France,,2215,
8465,Leandro Mavrich,Argentina,,2215,
8466,Iulia Mashinskaya,Russia,IM,,
8467,Huu Thai Le,Vietnam,CM,2215,
8468,Veronika Maslikova,Slovakia,WIM,2215,
8469,Xavier Mastalerz,Belgium,,2215,
8470,M K A Russell,Sri Lanka,,,
8471,Nuutti Sorsa,Finland,,2215,
8472,Sopiko Tereladze,Georgia,WIM,2215,
8473,Ezra Terryn,Belgium,,2215,
8474,Odisey Suleymanyants,Russia,FM,2215,
8475,Joel Adler,Switzerland,FM,2215,
8476,Yannis Aubry,France,,2215,
8477,Frank B Johnson,United States,,2215,
8478,Kirill Klimovets,Russia,,,
8479,Renato Licardo,Croatia,,2215,
8480,Zoran Licina,Croatia,FM,2215,
8481,Ruben Lutz,Germany,,2215,
8482,Carlos Mate Adan,Spain,FM,2215,
8483,Vladimir Mikhailovsky,Russia,CM,2215,
8484,Timo Paakkonen,Finland,FM,2215,
8485,Michael Schulz,Germany,FM,2215,
8486,Amrou Sobh,Egypt,IM,2215,
8487,Dragan P Stankovic,Serbia,FM,2215,
8488,Ferdinand Xiong,Germany,,2215,
8489,Daniel Kopczyk,Poland,,2215,
8490,Nedeljko Malesevic,Sweden,FM,2215,
8491,Andrea Malfagia,Italy,FM,,
8492,Daniel Plaza Pardo,Spain,,,
8493,Ahmet Utku Uzumcu,Turkey,FM,2215,
8494,Radoslaw Szczepanek,Poland,CM,2215,
8495,Per Naesby Andreasen,Denmark,FM,2215,
8496,Thomas A Eggleston,England,,2215,
8497,Josef Gheng,Germany,FM,2215,
8498,Alex Polyakov,Israel,,2215,
8499,Mauro Boffa,Switzerland,,2215,
8500,Johann Krebs,Austria,FM,2215,
8501,Oluwafemi Balogun,Nigeria,IM,2214,
8502,Andras Bonk,Germany,,2214,
8503,Ignacio Gago Padreny,Spain,FM,2214,
8504,Panayotis Frendzas,Greece,IM,2214,
8505,Altay Eynullayev,Azerbaijan,FM,2214,
8506,Charles Gauche,Brazil,FM,2214,
8507,Stepan Filipi,Czech Republic,,2214,
8508,Nejc Herega,Slovenia,,2214,
8509,Alexander Krivonogov,Russia,,2214,
8510,Aleksandr Lilov,Russia,,2214,
8511,Daniel Koelber,Austria,,2214,
8512,Jan-Olov Lind,Sweden,,2214,
8513,Theodor Lindbergh,Sweden,CM,2214,
8514,Riccardo Marsili,Italy,,,
8515,Ghislain Maugenest,France,,2214,
8516,Mitja Piskur,Slovenia,FM,2214,
8517,Vinny Puri,Canada,FM,,
8518,Alvaro Rioboo de Larriva,Spain,,2214,
8519,Maurice Schippers,Netherlands,FM,2214,
8520,Radosav Petkovic,Serbia,FM,2214,
8521,Dang Minh Quang Tran,Vietnam,FM,2214,
8522,Goran Biocanin,Serbia,FM,2214,
8523,Jesus Cortes Lizano,Spain,,,
8524,Sinisa Cucancic,Croatia,,2214,
8525,Martin Hoerstmann,Germany,FM,2214,
8526,Francisco Jimenez Bernal,Spain,,2214,
8527,Ali Kasimov,Uzbekistan,FM,2214,
8528,Zhuoling Li,China,WFM,2214,
8529,Jakub Lizak,Poland,,2214,
8530,Borislav Radanovic,Serbia,FM,2214,
8531,Sergio Romero Calduch,Spain,,2214,
8532,Jon Kr Royset,Norway,,2214,
8533,Dmitrijs Tokranovs,Latvia,FM,,
8534,Jose Torres Sanchez,Spain,FM,2214,
8535,Matei-Stefan Vilcu,Romania,,2214,
8536,Kevin Wasiluk,United States,FM,2214,
8537,Jacenty Wojcieszyn,Poland,FM,,
8538,Ye Lin Aung,Myanmar,FM,,
8539,Eivind Bruaset,Norway,,2214,
8540,Hotze Tette Hofstra,Netherlands,,2214,
8541,Karoly Kozma,Hungary,FM,2214,
8542,Marcus Miyasaka,United States,FM,2214,
8543,Ahmad Najjar,Lebanon,FM,2214,
8544,Anders Nilsson,Sweden,CM,2214,
8545,Dr Kai Wolter,Germany,FM,2214,
8546,Roland Bezuidenhout,South Africa,FM,2214,
8547,Bob Jansen,Netherlands,,2214,
8548,Boris Malisov,Israel,,,
8549,Bozo Maric,Bosnia-Herzegovina,,,
8550,Bartosz Szczechowicz,Poland,FM,2214,
8551,Krzysztof Szczurek,Poland,FM,2214,
8552,Enrico Kraemer,Germany,,2214,
8553,Peter Rahls,Germany,FM,2214,
8554,Attila Reznak,Hungary,FM,2214,
8555,Geza Jr. Szobi,Hungary,,2214,
8556,Brandon Jiang,United States,CM,2214,
8557,Angel Gabriel Cordoba Roa,Colombia,FM,2214,
8558,Jovan R Pavicevic,Serbia,,2214,
8559,Pavel Benco,Czech Republic,,2213,
8560,Enrique Biedma Martin,Spain,FM,,
8561,Louis de La Bourdonnais,France,,2213,
8562,Nicolas Dubreuil,France,FM,2213,
8563,Martin Dolezal,Czech Republic,FM,2213,
8564,Ummi Fisabilillah,Indonesia,WIM,2213,
8565,Igor Gazik,Slovakia,IM,2213,
8566,Dr Arpad Geller,Germany,FM,,
8567,Emir Gulbeyaz,Turkey,CM,2213,
8568,Jana Krivec,Slovenia,WGM,2213,
8569,Vitus Lederle,Germany,,2213,
8570,Adrian Lestao Balseiro,Spain,,2213,
8571,Simon Le Marec,France,,2213,
8572,Denes Nemeth,Hungary,,2213,
8573,Thomas Mroz,Austria,,2213,
8574,Dusan Mijatovic,Serbia,CM,2213,
8575,Ekaterina Murashova,Russia,WIM,,
8576,Nenad Puric,Bosnia-Herzegovina,FM,2213,
8577,Carsten Simonsen,Denmark,,2213,
8578,Petr Ruzicka,Czech Republic,FM,,
8579,Lars-Erik Pettersson,Sweden,FM,2213,
8580,Uwe Pewny,Germany,,2213,
8581,Nicolaj Zadruzny,Sweden,FM,2213,
8582,Zlatko Strangar,Serbia,,2213,
8583,Chely Abravanel,France,FM,2213,
8584,Vadim Afanasiev,Russia,FM,2213,
8585,Igor Ivanov,Latvia,,,
8586,Adrian Kovacs,Hungary,CM,2213,
8587,Zoran Ljikar,Croatia,,2213,
8588,Erik Malmstig,Sweden,FM,2213,
8589,Alen Markovic,Croatia,,2213,
8590,Danilo Polajzer,Slovenia,IM,2213,
8591,Tom Polgar-Shutzman,United States,,,
8592,Clement Rabineau,France,FM,2213,
8593,Luc Renaze,France,FM,2213,
8594,Abdulkader Rifai,Syria,CM,,
8595,Dr Martin Schuster,Germany,,,
8596,Sharma Isha,India,WIM,2213,"In this Indian name, the name Sharma is a patronymic, and the person should be referred to by the given name, Isha."
8597,Tome Todorovski,North Macedonia,,,
8598,Virgilio Vuelban,Philippines,IM,2213,
8599,Werner Wilke,Austria,,2213,
8600,Mikolaj Winiarski,Poland,FM,,
8601,Thomas Witke,Germany,FM,2213,
8602,Mahmut Xheladini,Kosovo,FM,2213,
8603,Mikhail Chernov,Russia,FM,,
8604,Denis Kozlov,Russia,FM,2213,
8605,Myo Swe,Myanmar,,,
8606,Richard Francisco,United States,FM,2213,
8607,Tatyana Getman,Russia,WFM,2213,
8608,Oleg Milushev,Russia,,,
8609,Holger Ochs,Germany,,2213,
8610,Colin Menzies,Ireland,FM,2213,
8611,Bernardo Vainzoff Sztokbant,Brazil,FM,2213,
8612,Meysam Khatibi,Iran,,2213,
8613,Kaloyan Popvasilev,Germany,,2213,
8614,Herbert Benda,Austria,FM,2212,
8615,Ralph Blasek,Germany,FM,2212,
8616,Hayler David Chavez Estevez,Cuba,FM,2212,
8617,Guenther Jahnel,Germany,FM,2212,
8618,Pierrick Dubourg,France,,2212,
8619,Alexander Fominyh,Russia,GM,2212,
8620,Ronald Frosch,Austria,FM,2212,
8621,Emilio Fiora,Argentina,,,
8622,Paul Hinrichs,Germany,,2212,
8623,Thorsten Kittler,Germany,FM,2212,
8624,Janos Laszlo,Hungary,FM,2212,
8625,Christopher Hofman Laursen,Denmark,,2212,
8626,N Lokesh,India,,2212,
8627,Michal Karpus,Poland,FM,2212,
8628,Marcos Antonio Morales Marmol,Cuba,,2212,
8629,Gustavo Eduardo Nunez V,Colombia,FM,2212,
8630,Pierre Mehdi Ouakhir,Morocco,FM,2212,
8631,Rizo Pepic,Serbia,,2212,
8632,Tapio Salo,Finland,FM,2212,
8633,Grigorii Ter-Saakian,Russia,FM,2212,
8634,Edson Kenji Tsuboi,Brazil,IM,,
8635,Janne Tuononen,Finland,,2212,
8636,Oskar Hajek,Czech Republic,CM,2212,
8637,Jose Vicente Jimenez Martinez,Spain,FM,2212,
8638,Erwin Kaliski,Germany,,2212,
8639,Zoran Lukic,Serbia,,,
8640,David Ramien,Germany,,2212,
8641,Raul Romon Poves,Spain,FM,,
8642,Roland Schmid,Germany,FM,2212,
8643,Danylo Shevchenko,Ukraine,CM,2212,
8644,Pablo Adib Tapie Amione,Mexico,FM,2212,
8645,Andreas Garberg Tryggestad,Norway,FM,2212,
8646,Ivan Vrsek,Croatia,,2212,
8647,Roar Elseth,Norway,FM,2212,
8648,Vojislav Glisic,Serbia,,,
8649,Gert Legemaat,Netherlands,,2212,
8650,Roman Mucha,Poland,,,
8651,Jens Nebel,Germany,CM,,
8652,Victor Jose Anaya Lopez,Spain,,2212,
8653,Nikolaos Dedes,Greece,FM,2212,
8654,Jose Manuel Perez Gonzalez,Spain,FM,2212,
8655,Klaus Poetsch,Germany,CM,,
8656,Andres Rodriguez Marquez,Spain,FM,2212,
8657,Gabor Akots,Hungary,FM,2211,
8658,Marc Balague Camps,Spain,CM,2211,
8659,Marco Angelini,Italy,,2211,
8660,Natalia V Alekhina,Russia,WGM,,
8661,Robertas Bastys,Lithuania,,2211,
8662,Georgios Alexakis,Greece,,2211,
8663,Dr Frank Belke,Germany,FM,2211,
8664,Julio Cesar Calderin Gamayo,Cuba,,,
8665,Stephan Buchal,Germany,FM,2211,
8666,Jasper Bons,Netherlands,,2211,
8667,Klaus de Francesco,Germany,FM,2211,
8668,Nicolas De La Colina,United States,,2211,
8669,Clement Frederic,France,,2211,
8670,Claudio Evangelisti,Italy,FM,2211,
8671,Laszlo Goczan,Hungary,,2211,
8672,Ondrej Gabris,Slovakia,,2211,
8673,Vardan Khojayan,Armenia,,2211,
8674,Jerome Leray,France,,,
8675,Sasa Matovic,Serbia,,2211,
8676,Alberto Nunez Garcia,Spain,,,
8677,Kevin Noiroux,Belgium,,2211,
8678,Antonio Picanol Alemany,Spain,FM,2211,
8679,Miguel Munoz Sanchez,Ecuador,IM,2211,
8680,Ralf Schlehoefer,Germany,FM,2211,
8681,Kenny Rivalin,France,,2211,
8682,Imanol Toledo Sanz,Spain,,2211,
8683,Franco Trabattoni,Italy,FM,2211,
8684,Yasin Emrah Yagiz,Turkey,FM,2211,
8685,Endre Vegh,Hungary,IM,2211,
8686,Bakhyt Temirov,Kazakhstan,FM,2211,
8687,Richard Zweifel,Switzerland,,2211,
8688,Alejandro Aguilera Lopez,Spain,,2211,
8689,Gh Alizadeh,Iran,,,
8690,Peter Backe,Sweden,,2211,
8691,Bryan Carrasco Jacome,Ecuador,,2211,
8692,Ekrem Koso,Bosnia-Herzegovina,,2211,
8693,Artem Koval,Ukraine,FM,,
8694,Emmanuel Neiman,France,FM,2211,
8695,Ahmet Olcum,Turkey,FM,2211,
8696,Srdjan Rankovic,Serbia,,,
8697,Arvin Rasti,Sweden,,2211,
8698,Mostafa Sakhayi,Iran,,,
8699,Adriana Sakorenko,Russia,WFM,,
8700,Sandro Schmid,Switzerland,FM,2211,
8701,Dinesh K Sharma,India,IM,2211,
8702,Nikita Shemyakinskiy,Russia,,2211,
8703,Zachary Dukic,Canada,FM,2211,
8704,Jacob Templen Grave,Norway,CM,2211,
8705,Alexey Kostin,Russia,IM,2211,
8706,Teodor-Cosmin Nedelcu,Romania,CM,2211,
8707,Vladislav Arhangelsky,Russia,FM,,
8708,Iskandar Aripov,Uzbekistan,,,
8709,Bharat Kumar Reddy Poluri,India,,2211,
8710,Terry Farley,Barbados,IM,2211,
8711,Benedek Koszta,Hungary,,2211,
8712,Juergen Moeldner,Germany,,2211,
8713,Gabriel Perez Perez,Spain,CM,2211,
8714,Alexey Kotliar,Ukraine,FM,,
8715,Anna Kubicka,Poland,WIM,2211,
8716,Mladen Popovic,Montenegro,FM,2211,
8717,Pascal Nied,Germany,,2211,
8718,Faustino Oro,Argentina,CM,2211,
8719,Davit Baroyan,France,,2210,
8720,Vilmos Balint,Hungary,FM,2210,
8721,Aaron Bendayan Claros,Spain,CM,2210,
8722,Krzysztof Banasik,Poland,,2210,
8723,Vadim Bondarets,Ukraine,IM,,
8724,Attila Czupor,Hungary,FM,2210,
8725,Jozef Franzen,Slovakia,IM,2210,
8726,Robert Fiacan,Slovakia,,2210,
8727,Moshe Friedland,Israel,FM,2210,
8728,Marc Fischer,France,,2210,
8729,Doruk Karaoglan,Turkey,CM,2210,
8730,Kaare Hove Kristensen,Denmark,IM,2210,
8731,Aleksander Lindbol,Norway,,2210,
8732,Vincent Lou,Switzerland,,2210,
8733,Daniel Magen,Israel,,2210,
8734,M Mahalakshmi,India,WIM,2210,
8735,Guillermo Malbran,Argentina,IM,,
8736,Bovey Liu,United States,,,
8737,Banele Mhango,South Africa,FM,2210,
8738,Zozek Salah Mohammed Mohammed,Iraq,FM,2210,
8739,Andrew McClement,Scotland,,2210,
8740,Nicolo Pasini,Italy,FM,2210,
8741,Dmitri Petrov,Estonia,,2210,
8742,S Vikramjit Singh,India,,,
8743,Johnni Veng,Denmark,FM,2210,
8744,Habib Adnan,Canada,CM,,
8745,Robert Aschenbrenner,Austria,FM,,
8746,M reza Asgharzadeh,Iran,FM,2210,
8747,Myroslava Hrabinska,Ukraine,WGM,,
8748,Maroje Jerkovic,Croatia,,2210,
8749,Marian Kantorik,Slovakia,IM,2210,
8750,Jose Martinez Penalver,Spain,,2210,
8751,Adnan Nadimifar,Iran,FM,,
8752,Rosa Ratsma,Netherlands,WIM,2210,
8753,Katharina Ricken,Germany,WFM,2210,
8754,David Riemay,Germany,,2210,
8755,Daniel Sadkowski,Belgium,FM,2210,
8756,Alessandro Santagati,Italy,FM,2210,
